"the_source_the_story_of_the_beats_and_the_beat_generation_1999","A pretty lively and entertaining look at how three writers (Jack Kerouac, Allen Ginsberg, William S. Burroughs) and their friends changed the cultural landscape of America from the conservatism of the 1950's to the spiritual revolution of counterculture in the 1960's and changed the way we look at art, politics, war, etc. forever. It is also quite refreshing to have three famous actors reading passages from the works of these men over the footage and interviews with those who participated in the Beat Generation's revolution of culture.","40","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","hmm, a documentary about beatnicks, what a great idea","10","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","My sister and I had every film he ever did. This was a hard one to find on the old VHS.","10","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","I'll admit that the biggest reason I didn't like this was because I'm not remotely interested in the subject matter. In fact, I only rented it because Johnny Depp was involved. So I'm probably not really in a place to write a negative review, but I can say that if this isn't something you're already interested in, this film will not change your mind.","10","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Not sure what to make of this one.....","20","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","This is probably the best documentary ever made on the Beats and their generation. The three main Beats (Kerouac, Ginsberg and Burroughs) were shown with such realism and intensity, and I loved the fictional performances/recites by Depp, Torturro and Hopper. There is material in this film I had never seen before, but as I'm not a fan of William S. Burroughs, I wish the movie had focused less on him and more on some of the other Beats. Still - a must-see documentary for the fans of the Beat generation and their cultural impact. It's never tiring, and I found it inspiring and deeply informative.","40","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Perhaps the most effective and thorough documentary of the beat generation, focusing mainly on the key figures: Burroughs, Ginsberg, and Kerouac. Shows the extent of their radicalism, as well as their influence to this very day.","30","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","I love this ! It's a amazing film if you want to learn about the Beat Generation . I also found it very inspiring !","50","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","People tend to underestimate Turturros brilliant take on Howl.","50","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","as far as the information stuff is concerned, you get the basics about the Beat Generation. what is surely better are all those brilliant footages which cannot be found elsewhere.","40","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","having an obsession to bat movement and writers, i of course enjoyed this a great deal. recommended for anyone interested in the beats, an interesting documentary with great performances from johnny depp as jack kerouac, dennis hopper as william burroughs and john turturro as allen ginsberg, my favourite beat.","40","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Though important to American Culture and Pop-culture this doc does nothing but revel in the obnoxious side of the Beat movement's founding members. Those interviewed are guilty of the same brand of 50s style nostalgia their reserved conservative enemies are, only they seek a time when minds were closed so they can maintain their self aggrandized superiority.","20","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Johnny Depp sucks balls!","05","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","The Source is retelling of the lives of three writers, played by three actors. Johnny Depp-Jack Kerouac, Dennis Hopper-Williams Burroughs, and John Turturro-Allen Ginsberg. It is interesting and full of History. Sometimes it is alittle slow, but worth watching.","35","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","It's not as good as all the books they wrote but still pretty good.","40","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Looks boring. I did the same thing with this as L.A. Without A Map. I only watched the Johnny parts. I have the same thing to say here too. I would've skipped the rest anyways. =P","20","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Un documentaire sur les 3 auteurs de la 'Beat Generation': Kerouac, Burroughs & Ginsberg. On prendra plaisir a les voir rescusiter sous les traits respectifs de Johnny Depp, Deninis Hopper & John Turturro","50","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","As someone who could be considered a descendent of the Beat Generation, (in attitude and spirit) this was a very informative and interesting movie. I learned so much more about the movement and the evolution of it. 5 outta 5, inspiring","50","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","johnny depp is soo hott!","50","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Johnny reciting poetry is just perfect!","25","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","You should know... you should know...","45","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","It was boring, I didn't even finish watching it. Just Johnny Depp was interesting to see.","05","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
"the_source_the_story_of_the_beats_and_the_beat_generation_1999","Great if you're really into the beats.","40","Documentary, Musical & Performing Arts, Classics, Comedy, Special Interest","johnny depp|dennis hopper|john turturro|neal cassady|norman mailer"
